idSku,order,seasonal_order
1,"(2, 0, 0)","(5, 0, 0, 7)"
2,"(1, 0, 0)","(5, 0, 0, 7)"
3,"(2, 0, 2)","(5, 0, 1, 7)"
4,"(2, 0, 0)","(1, 0, 1, 7)"
5,"(3, 0, 0)","(1, 0, 1, 7)"
6,"(5, 0, 0)","(4, 0, 1, 7)"
7,"(0, 1, 1)","(0, 1, 1, 7)"
8,"(0, 0, 0)","(5, 0, 1, 7)"
9,"(0, 0, 1)","(4, 0, 1, 7)"
10,"(0, 0, 1)","(1, 0, 1, 7)"
11,"(0, 0, 0)","(5, 0, 0, 7)"
12,"(0, 0, 0)","(1, 0, 1, 7)"
13,"(0, 0, 1)","(4, 0, 1, 7)"
14,"(1, 0, 0)","(5, 0, 1, 7)"
15,"(1, 0, 1)","(2, 0, 1, 7)"
16,"(3, 0, 0)","(1, 0, 1, 7)"
17,"(1, 0, 1)","(2, 0, 1, 7)"
18,"(1, 0, 0)","(4, 0, 1, 7)"
19,"(1, 0, 0)","(4, 0, 1, 7)"
20,"(0, 0, 0)","(5, 0, 0, 7)"
21,"(0, 0, 0)","(1, 0, 1, 7)"
22,"(1, 0, 1)","(2, 0, 1, 7)"
23,"(0, 0, 0)","(5, 0, 0, 7)"
24,"(2, 0, 0)","(3, 0, 3, 7)"
25,"(0, 0, 0)","(2, 0, 2, 7)"
26,"(2, 0, 0)","(3, 0, 0, 7)"
27,"(0, 0, 0)","(4, 0, 1, 7)"
28,"(0, 0, 0)","(5, 0, 0, 7)"
29,"(0, 0, 0)","(3, 0, 0, 7)"
30,"(3, 0, 0)","(2, 0, 0, 7)"
31,"(0, 0, 0)","(5, 0, 0, 7)"
32,"(2, 0, 1)","(5, 0, 1, 7)"
33,"(1, 0, 1)","(5, 0, 1, 7)"
34,"(1, 0, 0)","(4, 0, 1, 7)"
35,"(0, 0, 0)","(3, 0, 0, 7)"
36,"(1, 0, 0)","(1, 0, 1, 7)"
37,"(0, 0, 0)","(3, 0, 1, 7)"
38,"(1, 0, 1)","(5, 0, 1, 7)"
39,"(2, 0, 0)","(1, 0, 1, 7)"
40,"(0, 0, 0)","(1, 0, 1, 7)"
41,"(0, 0, 0)","(5, 0, 0, 7)"
42,"(0, 0, 0)","(3, 0, 2, 7)"
43,"(1, 0, 1)","(1, 0, 1, 7)"
44,"(0, 0, 0)","(1, 0, 1, 7)"
45,"(0, 0, 1)","(5, 0, 1, 7)"
46,"(1, 0, 2)","(1, 0, 1, 7)"
47,"(1, 0, 0)","(2, 0, 1, 7)"
48,"(0, 0, 0)","(4, 0, 1, 7)"
49,"(2, 0, 0)","(3, 0, 1, 7)"
50,"(0, 0, 0)","(5, 0, 0, 7)"
