idSku,kernel,C,epsilon,rmse
1,linear,1,0.1,9.652293373419187
2,linear,5,0.1,13.751312636717746
3,linear,1,0.1,8.455769910846318
4,linear,1,0.25,6.649148577114337
5,linear,1,0.5,11.970407638308531
6,linear,1,0.5,7.968506624584963
7,linear,1,0.25,7.558065858584774
8,linear,1,0.5,6.369430422323279
9,linear,1,0.25,6.2281674826106075
10,linear,1,0.5,5.299088463379713
11,linear,1,0.5,5.595225968446638
12,linear,1,0.25,6.52863519481941
13,linear,1,0.5,4.691836381722551
14,linear,1,0.25,4.817329932935861
15,linear,1,0.1,7.5604718521838326
16,linear,1,0.5,6.173486057185662
17,linear,1,0.25,5.317074260878236
18,linear,1,0.25,5.517397167841681
19,linear,1,0.5,5.537680462537179
20,linear,1,0.1,4.977486561502013
21,linear,1,0.5,5.002354201982798
22,linear,1,0.5,4.43297517009368
23,linear,1,0.5,4.907738437260976
24,linear,1,0.5,6.011716450088828
25,linear,1,0.1,5.91911405200341
26,linear,1,0.1,5.458917372288555
27,linear,1,0.1,5.979841283588174
28,linear,1,0.1,5.6359165238332585
29,linear,1,0.1,5.052677845751387
30,linear,1,0.5,5.182935307282922
31,linear,1,0.5,5.39535045338609
32,linear,1,0.5,6.247083600114716
33,linear,1,0.5,4.3374500090235415
34,linear,1,0.5,4.345916644642707
35,linear,1,0.5,4.290935135863895
36,linear,1,0.5,4.401053304185761
37,linear,1,0.5,5.45587103099825
38,linear,1,0.5,3.8091702870425066
39,linear,1,0.5,6.02632684132181
40,linear,1,0.5,7.285781945169506
41,linear,1,0.1,5.089857058681159
42,linear,1,0.25,5.439423108899294
43,linear,1,0.1,7.393894772462284
44,linear,1,0.1,5.130439523131669
45,linear,1,0.1,5.029317621550537
46,linear,1,0.5,5.917766364204331
47,linear,1,0.5,7.232671688316577
48,linear,1,0.5,4.6349734277872265
49,linear,1,0.1,6.311090634031498
50,linear,1,0.5,4.708109390932007
